"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Leusden";327;"Leusden";30401;"05-08-2020";"18-08-2020";5;16,4;0;0;0;0
"Lingewaard";1705;"Lingewaard";46601;"05-08-2020";"18-08-2020";6;12,9;0;0;0;0
"Lisse";553;"Lisse";22955;"05-08-2020";"18-08-2020";4;17,4;0;0;0;0
"Lochem";262;"Lochem";33729;"05-08-2020";"18-08-2020";4;11,9;0;0;0;0
"Loon op Zand";809;"Loon op Zand";23408;"05-08-2020";"18-08-2020";2;8,5;0;0;0;0
"Lopik";331;"Lopik";14467;"05-08-2020";"18-08-2020";4;27,6;0;0;0;0
"Loppersum";24;"Loppersum";9537;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Losser";168;"Losser";22683;"05-08-2020";"18-08-2020";2;8,8;0;0;0;0
"Maasdriel";263;"Maasdriel";25030;"05-08-2020";"18-08-2020";4;16;0;0;0;0
"Maasgouw";1641;"Maasgouw";23965;"05-08-2020";"18-08-2020";2;8,3;0;0;0;0
"Maassluis";556;"Maassluis";33213;"05-08-2020";"18-08-2020";34;102,4;1;3;0;0
"Maastricht";935;"Maastricht";121575;"05-08-2020";"18-08-2020";26;21,4;2;1,6;0;0
"Medemblik";420;"Medemblik";45101;"05-08-2020";"18-08-2020";6;13,3;0;0;0;0
"Meerssen";938;"Meerssen";18828;"05-08-2020";"18-08-2020";2;10,6;0;0;0;0
"Meierijstad";1948;"Meierijstad";81194;"05-08-2020";"18-08-2020";15;18,5;0;0;0;0
"Meppel";119;"Meppel";33920;"05-08-2020";"18-08-2020";2;5,9;0;0;0;0
"Middelburg";687;"Middelburg";48822;"05-08-2020";"18-08-2020";12;24,6;0;0;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"05-08-2020";"18-08-2020";7;36,2;0;0;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"05-08-2020";"18-08-2020";3;9;0;0;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"05-08-2020";"18-08-2020";7;11,5;0;0;1;1,6
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"05-08-2020";"18-08-2020";3;27,4;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"05-08-2020";"18-08-2020";6;16,2;0;0;0;0
"Molenlanden";1978;"Molenlanden";43909;"05-08-2020";"18-08-2020";6;13,7;0;0;0;0
"Montferland";1955;"Montferland";36011;"05-08-2020";"18-08-2020";3;8,3;0;0;0;0
"Montfoort";335;"Montfoort";13917;"05-08-2020";"18-08-2020";3;21,6;1;7,2;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"05-08-2020";"18-08-2020";2;25,5;0;0;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"05-08-2020";"18-08-2020";1;4,1;0;0;0;0
"Nederweert";946;"Nederweert";17019;"05-08-2020";"18-08-2020";1;5,9;0;0;0;0
"Nieuwegein";356;"Nieuwegein";63462;"05-08-2020";"18-08-2020";25;39,4;1;1,6;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"05-08-2020";"18-08-2020";4;13,9;0;0;0;0
"Nijkerk";267;"Nijkerk";43171;"05-08-2020";"18-08-2020";4;9,3;0;0;0;0
"Nijmegen";268;"Nijmegen";177659;"05-08-2020";"18-08-2020";45;25,3;1;0,6;0;0
"Nissewaard";1930;"Nissewaard";85219;"05-08-2020";"18-08-2020";26;30,5;0;0;0;0
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"05-08-2020";"18-08-2020";49;108,3;0;0;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"05-08-2020";"18-08-2020";3;6,3;0;0;0;0
"Noordwijk";575;"Noordwijk";43508;"05-08-2020";"18-08-2020";11;25,3;0;0;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"05-08-2020";"18-08-2020";7;29,9;0;0;0;0
"Nunspeet";302;"Nunspeet";27851;"05-08-2020";"18-08-2020";2;7,2;0;0;0;0
"Oegstgeest";579;"Oegstgeest";24840;"05-08-2020";"18-08-2020";8;32,2;0;0;0;0
"Oirschot";823;"Oirschot";18714;"05-08-2020";"18-08-2020";3;16;0;0;0;0
"Oisterwijk";824;"Oisterwijk";26245;"05-08-2020";"18-08-2020";6;22,9;0;0;0;0
"Oldambt";1895;"Oldambt";38209;"05-08-2020";"18-08-2020";3;7,9;0;0;0;0
"Oldebroek";269;"Oldebroek";23646;"05-08-2020";"18-08-2020";1;4,2;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"05-08-2020";"18-08-2020";4;12,6;0;0;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"05-08-2020";"18-08-2020";3;16,4;0;0;0;0
"Ommen";175;"Ommen";18009;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"05-08-2020";"18-08-2020";1;3,4;0;0;0;0
"Oosterhout";826;"Oosterhout";55982;"05-08-2020";"18-08-2020";29;51,8;0;0;0;0
