"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Hoogeveen";118;"Hoogeveen";55699;"29-04-2020";"12-05-2020";9;16,2;0;0;0;0
"Hoorn";405;"Hoorn";73261;"29-04-2020";"12-05-2020";1;1,4;0;0;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"29-04-2020";"12-05-2020";5;11,8;0;0;1;2,4
"Houten";321;"Houten";50146;"29-04-2020";"12-05-2020";9;17,9;0;0;1;2
"Huizen";406;"Huizen";41273;"29-04-2020";"12-05-2020";22;53,3;2;4,8;3;7,3
"Hulst";677;"Hulst";27556;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"IJsselstein";353;"IJsselstein";34109;"29-04-2020";"12-05-2020";13;38,1;0;0;2;5,9
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"29-04-2020";"12-05-2020";1;3,7;0;0;0;0
"Kampen";166;"Kampen";54319;"29-04-2020";"12-05-2020";21;38,7;0;0;0;0
"Kapelle";678;"Kapelle";12695;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Katwijk";537;"Katwijk";65753;"29-04-2020";"12-05-2020";15;22,8;0;0;2;3
"Kerkrade";928;"Kerkrade";45749;"29-04-2020";"12-05-2020";31;67,8;5;10,9;7;15,3
"Koggenland";1598;"Koggenland";22749;"29-04-2020";"12-05-2020";2;8,8;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"29-04-2020";"12-05-2020";6;20,3;0;0;2;6,8
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"29-04-2020";"12-05-2020";15;26,6;0;0;3;5,3
"Laarbeek";1659;"Laarbeek";22523;"29-04-2020";"12-05-2020";11;48,8;1;4,4;1;4,4
"Landerd";1685;"Landerd";15730;"29-04-2020";"12-05-2020";8;50,9;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"29-04-2020";"12-05-2020";6;16;0;0;1;2,7
"Landsmeer";415;"Landsmeer";11491;"29-04-2020";"12-05-2020";1;8,7;0;0;0;0
"Langedijk";416;"Langedijk";28163;"29-04-2020";"12-05-2020";1;3,6;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"29-04-2020";"12-05-2020";11;17,6;0;0;0;0
"Laren";417;"Laren";11280;"29-04-2020";"12-05-2020";1;8,9;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124084;"29-04-2020";"12-05-2020";3;2,4;0;0;0;0
"Leiden";546;"Leiden";125099;"29-04-2020";"12-05-2020";15;12;0;0;2;1,6
"Leiderdorp";547;"Leiderdorp";27056;"29-04-2020";"12-05-2020";4;14,8;1;3,7;1;3,7
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"29-04-2020";"12-05-2020";14;18,3;1;1,3;5;6,5
"Lelystad";995;"Lelystad";78598;"29-04-2020";"12-05-2020";23;29,3;5;6,4;8;10,2
