"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"11-11-2020";"24-11-2020";141;451,9;0;0;1;3,2
"Hengelo";164;"Hengelo";81140;"11-11-2020";"24-11-2020";387;477;2;2,5;4;4,9
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"11-11-2020";"24-11-2020";810;522,2;3;1,9;4;2,6
"Het Hogeland";1966;"Het Hogeland";47801;"11-11-2020";"24-11-2020";95;198,7;0;0;0;0
"Heumen";252;"Heumen";16454;"11-11-2020";"24-11-2020";61;370,7;0;0;0;0
"Heusden";797;"Heusden";44692;"11-11-2020";"24-11-2020";290;648,9;4;9;3;6,7
"Hillegom";534;"Hillegom";22209;"11-11-2020";"24-11-2020";67;301,7;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"11-11-2020";"24-11-2020";48;309,3;0;0;1;6,4
"Hilversum";402;"Hilversum";90831;"11-11-2020";"24-11-2020";281;309,4;0;0;5;5,5
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"11-11-2020";"24-11-2020";279;319,2;0;0;1;1,1
"Hof van Twente";1735;"Hof van Twente";35017;"11-11-2020";"24-11-2020";230;656,8;2;5,7;3;8,6
"Hollands Kroon";1911;"Hollands Kroon";48432;"11-11-2020";"24-11-2020";130;268,4;2;4,1;0;0
"Hoogeveen";118;"Hoogeveen";55699;"11-11-2020";"24-11-2020";146;262,1;0;0;0;0
"Hoorn";405;"Hoorn";73261;"11-11-2020";"24-11-2020";324;442,3;4;5,5;1;1,4
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"11-11-2020";"24-11-2020";266;626,9;0;0;4;9,4
"Houten";321;"Houten";50146;"11-11-2020";"24-11-2020";144;287,2;2;4;3;6
"Huizen";406;"Huizen";41273;"11-11-2020";"24-11-2020";203;491,8;1;2,4;2;4,8
"Hulst";677;"Hulst";27556;"11-11-2020";"24-11-2020";130;471,8;1;3,6;3;10,9
"IJsselstein";353;"IJsselstein";34109;"11-11-2020";"24-11-2020";139;407,5;1;2,9;2;5,9
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"11-11-2020";"24-11-2020";106;388,3;1;3,7;0;0
"Kampen";166;"Kampen";54319;"11-11-2020";"24-11-2020";177;325,9;2;3,7;1;1,8
"Kapelle";678;"Kapelle";12695;"11-11-2020";"24-11-2020";13;102,4;0;0;0;0
"Katwijk";537;"Katwijk";65753;"11-11-2020";"24-11-2020";292;444,1;3;4,6;2;3
"Kerkrade";928;"Kerkrade";45749;"11-11-2020";"24-11-2020";74;161,8;1;2,2;2;4,4
"Koggenland";1598;"Koggenland";22749;"11-11-2020";"24-11-2020";108;474,7;1;4,4;2;8,8
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"11-11-2020";"24-11-2020";148;501,3;2;6,8;4;13,5
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"11-11-2020";"24-11-2020";304;539,8;6;10,7;7;12,4
"Laarbeek";1659;"Laarbeek";22523;"11-11-2020";"24-11-2020";128;568,3;0;0;0;0
"Landerd";1685;"Landerd";15730;"11-11-2020";"24-11-2020";76;483,2;2;12,7;1;6,4
"Landgraaf";882;"Landgraaf";37445;"11-11-2020";"24-11-2020";111;296,4;0;0;2;5,3
"Landsmeer";415;"Landsmeer";11491;"11-11-2020";"24-11-2020";67;583,1;0;0;0;0
"Langedijk";416;"Langedijk";28163;"11-11-2020";"24-11-2020";119;422,5;1;3,6;0;0
"Lansingerland";1621;"Lansingerland";62384;"11-11-2020";"24-11-2020";256;410,4;1;1,6;4;6,4
"Laren";417;"Laren";11280;"11-11-2020";"24-11-2020";58;514,2;0;0;2;17,7
"Leeuwarden";80;"Leeuwarden";124084;"11-11-2020";"24-11-2020";263;212;3;2,4;4;3,2
"Leiden";546;"Leiden";125099;"11-11-2020";"24-11-2020";503;402,1;6;4,8;5;4
"Leiderdorp";547;"Leiderdorp";27056;"11-11-2020";"24-11-2020";103;380,7;0;0;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"11-11-2020";"24-11-2020";306;399,8;6;7,8;5;6,5
"Lelystad";995;"Lelystad";78598;"11-11-2020";"24-11-2020";303;385,5;3;3,8;6;7,6
"Leudal";1640;"Leudal";35879;"11-11-2020";"24-11-2020";165;459,9;2;5,6;1;2,8
"Leusden";327;"Leusden";30401;"11-11-2020";"24-11-2020";115;378,3;2;6,6;1;3,3
"Lingewaard";1705;"Lingewaard";46601;"11-11-2020";"24-11-2020";156;334,8;2;4,3;1;2,1
"Lisse";553;"Lisse";22955;"11-11-2020";"24-11-2020";62;270,1;0;0;0;0
"Lochem";262;"Lochem";33729;"11-11-2020";"24-11-2020";116;343,9;3;8,9;3;8,9
"Loon op Zand";809;"Loon op Zand";23408;"11-11-2020";"24-11-2020";144;615,2;2;8,5;2;8,5
"Lopik";331;"Lopik";14467;"11-11-2020";"24-11-2020";57;394;0;0;0;0
"Loppersum";24;"Loppersum";9537;"11-11-2020";"24-11-2020";16;167,8;1;10,5;0;0
"Losser";168;"Losser";22683;"11-11-2020";"24-11-2020";167;736,2;0;0;0;0
"Maasdriel";263;"Maasdriel";25030;"11-11-2020";"24-11-2020";162;647,2;0;0;4;16
"Maasgouw";1641;"Maasgouw";23965;"11-11-2020";"24-11-2020";75;313;0;0;0;0
"Maassluis";556;"Maassluis";33213;"11-11-2020";"24-11-2020";186;560;4;12;0;0
"Maastricht";935;"Maastricht";121575;"11-11-2020";"24-11-2020";441;362,7;3;2,5;1;0,8
"Medemblik";420;"Medemblik";45101;"11-11-2020";"24-11-2020";141;312,6;0;0;0;0
"Meerssen";938;"Meerssen";18828;"11-11-2020";"24-11-2020";48;254,9;1;5,3;0;0
"Meierijstad";1948;"Meierijstad";81194;"11-11-2020";"24-11-2020";330;406,4;2;2,5;0;0
"Meppel";119;"Meppel";33920;"11-11-2020";"24-11-2020";95;280,1;2;5,9;0;0
"Middelburg";687;"Middelburg";48822;"11-11-2020";"24-11-2020";75;153,6;0;0;1;2
"Midden-Delfland";1842;"Midden-Delfland";19341;"11-11-2020";"24-11-2020";121;625,6;2;10,3;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"11-11-2020";"24-11-2020";86;259,2;3;9;2;6
"Midden-Groningen";1952;"Midden-Groningen";60797;"11-11-2020";"24-11-2020";177;291,1;5;8,2;3;4,9
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"11-11-2020";"24-11-2020";39;356,5;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"11-11-2020";"24-11-2020";147;395,9;0;0;2;5,4
"Molenlanden";1978;"Molenlanden";43909;"11-11-2020";"24-11-2020";270;614,9;0;0;4;9,1
"Montferland";1955;"Montferland";36011;"11-11-2020";"24-11-2020";103;286;1;2,8;1;2,8
"Montfoort";335;"Montfoort";13917;"11-11-2020";"24-11-2020";78;560,5;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"11-11-2020";"24-11-2020";28;356,8;1;12,7;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"11-11-2020";"24-11-2020";192;788,9;2;8,2;0;0
"Nederweert";946;"Nederweert";17019;"11-11-2020";"24-11-2020";88;517,1;0;0;1;5,9
"Nieuwegein";356;"Nieuwegein";63462;"11-11-2020";"24-11-2020";227;357,7;4;6,3;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"11-11-2020";"24-11-2020";147;510,2;0;0;1;3,5
"Nijkerk";267;"Nijkerk";43171;"11-11-2020";"24-11-2020";176;407,7;0;0;1;2,3
"Nijmegen";268;"Nijmegen";177659;"11-11-2020";"24-11-2020";534;300,6;3;1,7;10;5,6
"Nissewaard";1930;"Nissewaard";85219;"11-11-2020";"24-11-2020";531;623,1;4;4,7;12;14,1
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"11-11-2020";"24-11-2020";95;210;1;2,2;3;6,6
"Noord-Beveland";1695;"Noord-Beveland";7392;"11-11-2020";"24-11-2020";12;162,3;2;27,1;0;0
"Noordenveld";1699;"Noordenveld";31253;"11-11-2020";"24-11-2020";30;96;0;0;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"11-11-2020";"24-11-2020";258;545,6;3;6,3;5;10,6
"Noordwijk";575;"Noordwijk";43508;"11-11-2020";"24-11-2020";155;356,3;1;2,3;2;4,6
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"11-11-2020";"24-11-2020";103;440,5;1;4,3;2;8,6
"Nunspeet";302;"Nunspeet";27851;"11-11-2020";"24-11-2020";102;366,2;2;7,2;1;3,6
"Oegstgeest";579;"Oegstgeest";24840;"11-11-2020";"24-11-2020";101;406,6;2;8,1;2;8,1
"Oirschot";823;"Oirschot";18714;"11-11-2020";"24-11-2020";107;571,8;2;10,7;3;16
"Oisterwijk";824;"Oisterwijk";26245;"11-11-2020";"24-11-2020";139;529,6;0;0;0;0
"Oldambt";1895;"Oldambt";38209;"11-11-2020";"24-11-2020";50;130,9;0;0;1;2,6
"Oldebroek";269;"Oldebroek";23646;"11-11-2020";"24-11-2020";66;279,1;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"11-11-2020";"24-11-2020";211;662,8;5;15,7;6;18,8
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"11-11-2020";"24-11-2020";19;104,1;0;0;0;0
"Ommen";175;"Ommen";18009;"11-11-2020";"24-11-2020";41;227,7;0;0;1;5,6
"Oost Gelre";1586;"Oost Gelre";29627;"11-11-2020";"24-11-2020";96;324;2;6,8;7;23,6
"Oosterhout";826;"Oosterhout";55982;"11-11-2020";"24-11-2020";328;585,9;0;0;3;5,4
"Ooststellingwerf";85;"Ooststellingwerf";25469;"11-11-2020";"24-11-2020";90;353,4;1;3,9;0;0
"Oostzaan";431;"Oostzaan";9735;"11-11-2020";"24-11-2020";30;308,2;0;0;1;10,3
"Opmeer";432;"Opmeer";11836;"11-11-2020";"24-11-2020";43;363,3;1;8,4;0;0
"Opsterland";86;"Opsterland";29733;"11-11-2020";"24-11-2020";48;161,4;2;6,7;0;0
"Oss";828;"Oss";91915;"11-11-2020";"24-11-2020";315;342,7;3;3,3;10;10,9
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"11-11-2020";"24-11-2020";164;416,4;2;5,1;3;7,6
"Ouder-Amstel";437;"Ouder-Amstel";14026;"11-11-2020";"24-11-2020";55;392,1;0;0;0;0
"Oudewater";589;"Oudewater";10230;"11-11-2020";"24-11-2020";47;459,4;1;9,8;1;9,8
"Overbetuwe";1734;"Overbetuwe";47906;"11-11-2020";"24-11-2020";152;317,3;0;0;1;2,1
"Papendrecht";590;"Papendrecht";32136;"11-11-2020";"24-11-2020";144;448,1;1;3,1;3;9,3
