"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Losser";168;"Losser";22683;"30-09-2020";"13-10-2020";128;564,3;1;4,4;1;4,4
"Maasdriel";263;"Maasdriel";25030;"30-09-2020";"13-10-2020";103;411,5;1;4;0;0
"Maasgouw";1641;"Maasgouw";23965;"30-09-2020";"13-10-2020";36;150,2;0;0;0;0
"Maassluis";556;"Maassluis";33213;"30-09-2020";"13-10-2020";273;822;4;12;1;3
"Maastricht";935;"Maastricht";121575;"30-09-2020";"13-10-2020";255;209,7;1;0,8;0;0
"Medemblik";420;"Medemblik";45101;"30-09-2020";"13-10-2020";107;237,2;0;0;0;0
"Meerssen";938;"Meerssen";18828;"30-09-2020";"13-10-2020";29;154;0;0;0;0
"Meierijstad";1948;"Meierijstad";81194;"30-09-2020";"13-10-2020";273;336,2;0;0;1;1,2
"Meppel";119;"Meppel";33920;"30-09-2020";"13-10-2020";58;171;0;0;0;0
"Middelburg";687;"Middelburg";48822;"30-09-2020";"13-10-2020";60;122,9;0;0;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"30-09-2020";"13-10-2020";101;522,2;1;5,2;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"30-09-2020";"13-10-2020";54;162,7;0;0;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"30-09-2020";"13-10-2020";105;172,7;1;1,6;0;0
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"30-09-2020";"13-10-2020";79;722,2;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"30-09-2020";"13-10-2020";165;444,4;0;0;1;2,7
"Molenlanden";1978;"Molenlanden";43909;"30-09-2020";"13-10-2020";192;437,3;0;0;0;0
"Montferland";1955;"Montferland";36011;"30-09-2020";"13-10-2020";78;216,6;0;0;0;0
"Montfoort";335;"Montfoort";13917;"30-09-2020";"13-10-2020";51;366,5;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"30-09-2020";"13-10-2020";36;458,8;0;0;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"30-09-2020";"13-10-2020";103;423,2;4;16,4;1;4,1
