"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Hellevoetsluis";530;"Hellevoetsluis";40142;"27-05-2020";"09-06-2020";3;7,5;0;0;0;0
"Helmond";794;"Helmond";92423;"27-05-2020";"09-06-2020";34;36,8;1;1,1;1;1,1
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"27-05-2020";"09-06-2020";11;35,3;1;3,2;0;0
"Hengelo";164;"Hengelo";81140;"27-05-2020";"09-06-2020";2;2,5;0;0;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"27-05-2020";"09-06-2020";22;14,2;0;0;0;0
"Het Hogeland";1966;"Het Hogeland";47801;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Heumen";252;"Heumen";16454;"27-05-2020";"09-06-2020";2;12,2;0;0;0;0
"Heusden";797;"Heusden";44692;"27-05-2020";"09-06-2020";4;9;0;0;0;0
"Hillegom";534;"Hillegom";22209;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"27-05-2020";"09-06-2020";4;25,8;0;0;0;0
"Hilversum";402;"Hilversum";90831;"27-05-2020";"09-06-2020";2;2,2;0;0;0;0
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"27-05-2020";"09-06-2020";9;10,3;0;0;0;0
"Hof van Twente";1735;"Hof van Twente";35017;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Hollands Kroon";1911;"Hollands Kroon";48432;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Hoogeveen";118;"Hoogeveen";55699;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Hoorn";405;"Hoorn";73261;"27-05-2020";"09-06-2020";4;5,5;1;1,4;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"27-05-2020";"09-06-2020";3;7,1;0;0;0;0
"Houten";321;"Houten";50146;"27-05-2020";"09-06-2020";8;16;0;0;1;2
"Huizen";406;"Huizen";41273;"27-05-2020";"09-06-2020";3;7,3;0;0;0;0
"Hulst";677;"Hulst";27556;"27-05-2020";"09-06-2020";1;3,6;0;0;0;0
"IJsselstein";353;"IJsselstein";34109;"27-05-2020";"09-06-2020";11;32,2;1;2,9;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Kampen";166;"Kampen";54319;"27-05-2020";"09-06-2020";8;14,7;0;0;0;0
"Kapelle";678;"Kapelle";12695;"27-05-2020";"09-06-2020";1;7,9;0;0;0;0
"Katwijk";537;"Katwijk";65753;"27-05-2020";"09-06-2020";44;66,9;1;1,5;1;1,5
"Kerkrade";928;"Kerkrade";45749;"27-05-2020";"09-06-2020";3;6,6;1;2,2;2;4,4
"Koggenland";1598;"Koggenland";22749;"27-05-2020";"09-06-2020";2;8,8;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"27-05-2020";"09-06-2020";4;13,5;0;0;1;3,4
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"27-05-2020";"09-06-2020";9;16;0;0;3;5,3
"Laarbeek";1659;"Laarbeek";22523;"27-05-2020";"09-06-2020";4;17,8;0;0;0;0
"Landerd";1685;"Landerd";15730;"27-05-2020";"09-06-2020";5;31,8;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"27-05-2020";"09-06-2020";3;8;0;0;0;0
"Landsmeer";415;"Landsmeer";11491;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Langedijk";416;"Langedijk";28163;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"27-05-2020";"09-06-2020";7;11,2;0;0;0;0
"Laren";417;"Laren";11280;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124084;"27-05-2020";"09-06-2020";1;0,8;0;0;0;0
"Leiden";546;"Leiden";125099;"27-05-2020";"09-06-2020";10;8;0;0;0;0
"Leiderdorp";547;"Leiderdorp";27056;"27-05-2020";"09-06-2020";4;14,8;1;3,7;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"27-05-2020";"09-06-2020";6;7,8;0;0;0;0
"Lelystad";995;"Lelystad";78598;"27-05-2020";"09-06-2020";13;16,5;0;0;2;2,5
"Leudal";1640;"Leudal";35879;"27-05-2020";"09-06-2020";7;19,5;0;0;0;0
"Leusden";327;"Leusden";30401;"27-05-2020";"09-06-2020";3;9,9;0;0;0;0
"Lingewaard";1705;"Lingewaard";46601;"27-05-2020";"09-06-2020";4;8,6;0;0;0;0
"Lisse";553;"Lisse";22955;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Lochem";262;"Lochem";33729;"27-05-2020";"09-06-2020";2;5,9;0;0;0;0
"Loon op Zand";809;"Loon op Zand";23408;"27-05-2020";"09-06-2020";3;12,8;0;0;1;4,3
"Lopik";331;"Lopik";14467;"27-05-2020";"09-06-2020";1;6,9;0;0;0;0
"Loppersum";24;"Loppersum";9537;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Losser";168;"Losser";22683;"27-05-2020";"09-06-2020";2;8,8;0;0;0;0
"Maasdriel";263;"Maasdriel";25030;"27-05-2020";"09-06-2020";3;12;0;0;0;0
"Maasgouw";1641;"Maasgouw";23965;"27-05-2020";"09-06-2020";1;4,2;0;0;0;0
"Maassluis";556;"Maassluis";33213;"27-05-2020";"09-06-2020";1;3;0;0;0;0
"Maastricht";935;"Maastricht";121575;"27-05-2020";"09-06-2020";33;27,1;1;0,8;8;6,6
"Medemblik";420;"Medemblik";45101;"27-05-2020";"09-06-2020";2;4,4;0;0;0;0
"Meerssen";938;"Meerssen";18828;"27-05-2020";"09-06-2020";4;21,2;0;0;1;5,3
"Meierijstad";1948;"Meierijstad";81194;"27-05-2020";"09-06-2020";6;7,4;0;0;0;0
"Meppel";119;"Meppel";33920;"27-05-2020";"09-06-2020";8;23,6;0;0;0;0
"Middelburg";687;"Middelburg";48822;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"27-05-2020";"09-06-2020";1;5,2;0;0;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"27-05-2020";"09-06-2020";1;9,1;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"27-05-2020";"09-06-2020";4;10,8;0;0;0;0
"Molenlanden";1978;"Molenlanden";43909;"27-05-2020";"09-06-2020";7;15,9;0;0;0;0
"Montferland";1955;"Montferland";36011;"27-05-2020";"09-06-2020";8;22,2;0;0;1;2,8
"Montfoort";335;"Montfoort";13917;"27-05-2020";"09-06-2020";4;28,7;1;7,2;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"27-05-2020";"09-06-2020";3;38,2;0;0;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"27-05-2020";"09-06-2020";6;24,7;0;0;0;0
"Nederweert";946;"Nederweert";17019;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Nieuwegein";356;"Nieuwegein";63462;"27-05-2020";"09-06-2020";7;11;1;1,6;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"27-05-2020";"09-06-2020";1;3,5;0;0;0;0
"Nijkerk";267;"Nijkerk";43171;"27-05-2020";"09-06-2020";1;2,3;0;0;0;0
"Nijmegen";268;"Nijmegen";177659;"27-05-2020";"09-06-2020";30;16,9;1;0,6;1;0,6
"Nissewaard";1930;"Nissewaard";85219;"27-05-2020";"09-06-2020";7;8,2;1;1,2;0;0
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"27-05-2020";"09-06-2020";3;9,6;0;0;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Noordwijk";575;"Noordwijk";43508;"27-05-2020";"09-06-2020";3;6,9;0;0;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Nunspeet";302;"Nunspeet";27851;"27-05-2020";"09-06-2020";6;21,5;0;0;1;3,6
"Oegstgeest";579;"Oegstgeest";24840;"27-05-2020";"09-06-2020";1;4;0;0;0;0
"Oirschot";823;"Oirschot";18714;"27-05-2020";"09-06-2020";3;16;0;0;0;0
"Oisterwijk";824;"Oisterwijk";26245;"27-05-2020";"09-06-2020";5;19,1;0;0;0;0
"Oldambt";1895;"Oldambt";38209;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Oldebroek";269;"Oldebroek";23646;"27-05-2020";"09-06-2020";8;33,8;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"27-05-2020";"09-06-2020";1;5,5;0;0;0;0
"Ommen";175;"Ommen";18009;"27-05-2020";"09-06-2020";2;11,1;0;0;0;0
