"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Eemnes";317;"Eemnes";9247;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Eersel";770;"Eersel";19313;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"19-02-2020";"03-03-2020";0;0;1;3,9;0;0
"Eindhoven";772;"Eindhoven";234394;"19-02-2020";"03-03-2020";2;0,9;0;0;0;0
"Elburg";230;"Elburg";23161;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Emmen";114;"Emmen";107048;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Enschede";153;"Enschede";159640;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Epe";232;"Epe";33178;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Ermelo";233;"Ermelo";27008;"19-02-2020";"03-03-2020";0;0;3;11,1;0;0
"Etten-Leur";777;"Etten-Leur";43878;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Gennep";907;"Gennep";16921;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Goes";664;"Goes";38082;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Goirle";785;"Goirle";23904;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"19-02-2020";"03-03-2020";2;3,4;0;0;0;0
"Gorinchem";512;"Gorinchem";37022;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Gouda";513;"Gouda";73427;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Grave";786;"Grave";12436;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"19-02-2020";"03-03-2020";0;0;1;0,2;0;0
"Groningen";14;"Groningen";232874;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Haaren";788;"Haaren";14370;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Haarlem";392;"Haarlem";162902;"19-02-2020";"03-03-2020";3;1,8;0;0;0;0
"Haarlemmermeer";394;"Haarlemmermeer";156002;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Halderberge";1655;"Halderberge";30284;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hardenberg";160;"Hardenberg";60948;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"19-02-2020";"03-03-2020";4;21,9;0;0;0;0
"Harlingen";72;"Harlingen";15722;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hattem";244;"Hattem";12209;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heemstede";397;"Heemstede";27234;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heerde";246;"Heerde";18589;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heerlen";917;"Heerlen";87086;"19-02-2020";"03-03-2020";0;0;1;1,1;0;0
"Heeze-Leende";1658;"Heeze-Leende";16152;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heiloo";399;"Heiloo";23968;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40142;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Helmond";794;"Helmond";92423;"19-02-2020";"03-03-2020";6;6,5;0;0;0;0
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hengelo";164;"Hengelo";81140;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Het Hogeland";1966;"Het Hogeland";47801;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heumen";252;"Heumen";16454;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Heusden";797;"Heusden";44692;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hillegom";534;"Hillegom";22209;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hilversum";402;"Hilversum";90831;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"19-02-2020";"03-03-2020";1;1,1;1;1,1;0;0
"Hof van Twente";1735;"Hof van Twente";35017;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hollands Kroon";1911;"Hollands Kroon";48432;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hoogeveen";118;"Hoogeveen";55699;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hoorn";405;"Hoorn";73261;"19-02-2020";"03-03-2020";0;0;1;1,4;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Houten";321;"Houten";50146;"19-02-2020";"03-03-2020";9;17,9;0;0;0;0
"Huizen";406;"Huizen";41273;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Hulst";677;"Hulst";27556;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"IJsselstein";353;"IJsselstein";34109;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Kampen";166;"Kampen";54319;"19-02-2020";"03-03-2020";0;0;1;1,8;0;0
"Kapelle";678;"Kapelle";12695;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Katwijk";537;"Katwijk";65753;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Kerkrade";928;"Kerkrade";45749;"19-02-2020";"03-03-2020";0;0;1;2,2;0;0
"Koggenland";1598;"Koggenland";22749;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Laarbeek";1659;"Laarbeek";22523;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Landerd";1685;"Landerd";15730;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Landsmeer";415;"Landsmeer";11491;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Langedijk";416;"Langedijk";28163;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"19-02-2020";"03-03-2020";1;1,6;0;0;0;0
"Laren";417;"Laren";11280;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124084;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Leiden";546;"Leiden";125099;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Leiderdorp";547;"Leiderdorp";27056;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Lelystad";995;"Lelystad";78598;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Leudal";1640;"Leudal";35879;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Leusden";327;"Leusden";30401;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Lingewaard";1705;"Lingewaard";46601;"19-02-2020";"03-03-2020";0;0;1;2,1;0;0
"Lisse";553;"Lisse";22955;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Lochem";262;"Lochem";33729;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Loon op Zand";809;"Loon op Zand";23408;"19-02-2020";"03-03-2020";4;17,1;0;0;0;0
"Lopik";331;"Lopik";14467;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Loppersum";24;"Loppersum";9537;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Losser";168;"Losser";22683;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Maasdriel";263;"Maasdriel";25030;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Maasgouw";1641;"Maasgouw";23965;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Maassluis";556;"Maassluis";33213;"19-02-2020";"03-03-2020";0;0;1;3;0;0
"Maastricht";935;"Maastricht";121575;"19-02-2020";"03-03-2020";1;0,8;1;0,8;0;0
"Medemblik";420;"Medemblik";45101;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Meerssen";938;"Meerssen";18828;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Meierijstad";1948;"Meierijstad";81194;"19-02-2020";"03-03-2020";1;1,2;0;0;0;0
"Meppel";119;"Meppel";33920;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Middelburg";687;"Middelburg";48822;"19-02-2020";"03-03-2020";0;0;1;2;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"19-02-2020";"03-03-2020";0;0;0;0;0;0
