"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Dordrecht";505;"Dordrecht";119284;"02-09-2020";"15-09-2020";116;97,2;2;1,7;2;1,7
"Drechterland";498;"Drechterland";19719;"02-09-2020";"15-09-2020";9;45,6;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"02-09-2020";"15-09-2020";14;51,3;0;0;0;0
"Dronten";303;"Dronten";41555;"02-09-2020";"15-09-2020";11;26,5;0;0;0;0
"Druten";225;"Druten";18926;"02-09-2020";"15-09-2020";4;21,1;0;0;0;0
"Duiven";226;"Duiven";25126;"02-09-2020";"15-09-2020";13;51,7;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"02-09-2020";"15-09-2020";7;22,1;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"02-09-2020";"15-09-2020";20;55,3;0;0;0;0
"Ede";228;"Ede";117165;"02-09-2020";"15-09-2020";92;78,5;1;0,9;0;0
"Eemnes";317;"Eemnes";9247;"02-09-2020";"15-09-2020";3;32,4;0;0;0;0
"Eersel";770;"Eersel";19313;"02-09-2020";"15-09-2020";31;160,5;1;5,2;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"02-09-2020";"15-09-2020";7;27,2;0;0;0;0
"Eindhoven";772;"Eindhoven";234394;"02-09-2020";"15-09-2020";175;74,7;1;0,4;0;0
"Elburg";230;"Elburg";23161;"02-09-2020";"15-09-2020";11;47,5;0;0;0;0
"Emmen";114;"Emmen";107048;"02-09-2020";"15-09-2020";26;24,3;1;0,9;0;0
"Enkhuizen";388;"Enkhuizen";18591;"02-09-2020";"15-09-2020";5;26,9;0;0;0;0
"Enschede";153;"Enschede";159640;"02-09-2020";"15-09-2020";67;42;0;0;0;0
"Epe";232;"Epe";33178;"02-09-2020";"15-09-2020";11;33,2;0;0;0;0
"Ermelo";233;"Ermelo";27008;"02-09-2020";"15-09-2020";14;51,8;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"02-09-2020";"15-09-2020";16;36,5;1;2,3;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"02-09-2020";"15-09-2020";5;23,2;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"02-09-2020";"15-09-2020";11;27,7;0;0;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"02-09-2020";"15-09-2020";11;35,8;0;0;0;0
"Gennep";907;"Gennep";16921;"02-09-2020";"15-09-2020";7;41,4;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"02-09-2020";"15-09-2020";8;30,3;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"02-09-2020";"15-09-2020";30;59,9;0;0;0;0
"Goes";664;"Goes";38082;"02-09-2020";"15-09-2020";17;44,6;0;0;0;0
"Goirle";785;"Goirle";23904;"02-09-2020";"15-09-2020";33;138,1;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"02-09-2020";"15-09-2020";65;112;0;0;0;0
"Gorinchem";512;"Gorinchem";37022;"02-09-2020";"15-09-2020";24;64,8;0;0;0;0
"Gouda";513;"Gouda";73427;"02-09-2020";"15-09-2020";61;83,1;0;0;1;1,4
"Grave";786;"Grave";12436;"02-09-2020";"15-09-2020";9;72,4;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"02-09-2020";"15-09-2020";1424;260,9;11;2;2;0,4
"Groningen";14;"Groningen";232874;"02-09-2020";"15-09-2020";212;91;0;0;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"02-09-2020";"15-09-2020";4;28,2;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"02-09-2020";"15-09-2020";14;57,6;0;0;0;0
"Haaren";788;"Haaren";14370;"02-09-2020";"15-09-2020";2;13,9;0;0;0;0
"Haarlem";392;"Haarlem";162902;"02-09-2020";"15-09-2020";172;105,6;4;2,5;1;0,6
"Haarlemmermeer";394;"Haarlemmermeer";156002;"02-09-2020";"15-09-2020";190;121,8;3;1,9;0;0
"Halderberge";1655;"Halderberge";30284;"02-09-2020";"15-09-2020";15;49,5;0;0;1;3,3
"Hardenberg";160;"Hardenberg";60948;"02-09-2020";"15-09-2020";4;6,6;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"02-09-2020";"15-09-2020";34;70,2;0;0;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"02-09-2020";"15-09-2020";6;32,8;0;0;0;0
"Harlingen";72;"Harlingen";15722;"02-09-2020";"15-09-2020";3;19,1;0;0;0;0
"Hattem";244;"Hattem";12209;"02-09-2020";"15-09-2020";7;57,3;2;16,4;0;0
"Heemskerk";396;"Heemskerk";39182;"02-09-2020";"15-09-2020";20;51;0;0;0;0
"Heemstede";397;"Heemstede";27234;"02-09-2020";"15-09-2020";22;80,8;0;0;0;0
"Heerde";246;"Heerde";18589;"02-09-2020";"15-09-2020";12;64,6;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"02-09-2020";"15-09-2020";14;27,7;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"02-09-2020";"15-09-2020";38;66;0;0;0;0
"Heerlen";917;"Heerlen";87086;"02-09-2020";"15-09-2020";63;72,3;1;1,1;0;0
"Heeze-Leende";1658;"Heeze-Leende";16152;"02-09-2020";"15-09-2020";1;6,2;0;0;0;0
"Heiloo";399;"Heiloo";23968;"02-09-2020";"15-09-2020";10;41,7;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40142;"02-09-2020";"15-09-2020";22;54,8;0;0;0;0
"Helmond";794;"Helmond";92423;"02-09-2020";"15-09-2020";53;57,3;0;0;0;0
