"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Edam-Volendam";385;"Edam-Volendam";36197;"18-03-2020";"31-03-2020";16;44,2;9;24,9;0;0
"Ede";228;"Ede";117165;"18-03-2020";"31-03-2020";61;52,1;32;27,3;8;6,8
"Eemnes";317;"Eemnes";9247;"18-03-2020";"31-03-2020";3;32,4;0;0;1;10,8
"Eersel";770;"Eersel";19313;"18-03-2020";"31-03-2020";21;108,7;14;72,5;1;5,2
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"18-03-2020";"31-03-2020";55;213,4;24;93,1;4;15,5
"Eindhoven";772;"Eindhoven";234394;"18-03-2020";"31-03-2020";168;71,7;76;32,4;17;7,3
"Elburg";230;"Elburg";23161;"18-03-2020";"31-03-2020";19;82;5;21,6;0;0
"Emmen";114;"Emmen";107048;"18-03-2020";"31-03-2020";19;17,7;9;8,4;2;1,9
"Enkhuizen";388;"Enkhuizen";18591;"18-03-2020";"31-03-2020";19;102,2;13;69,9;4;21,5
"Enschede";153;"Enschede";159640;"18-03-2020";"31-03-2020";66;41,3;25;15,7;7;4,4
"Epe";232;"Epe";33178;"18-03-2020";"31-03-2020";40;120,6;24;72,3;5;15,1
"Ermelo";233;"Ermelo";27008;"18-03-2020";"31-03-2020";21;77,8;12;44,4;5;18,5
"Etten-Leur";777;"Etten-Leur";43878;"18-03-2020";"31-03-2020";49;111,7;24;54,7;10;22,8
"Geertruidenberg";779;"Geertruidenberg";21544;"18-03-2020";"31-03-2020";8;37,1;4;18,6;2;9,3
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"18-03-2020";"31-03-2020";34;85,6;15;37,8;2;5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"18-03-2020";"31-03-2020";70;227,8;39;126,9;17;55,3
"Gennep";907;"Gennep";16921;"18-03-2020";"31-03-2020";20;118,2;9;53,2;3;17,7
"Gilze en Rijen";784;"Gilze en Rijen";26431;"18-03-2020";"31-03-2020";28;105,9;15;56,8;4;15,1
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"18-03-2020";"31-03-2020";119;237,8;34;67,9;8;16
"Goes";664;"Goes";38082;"18-03-2020";"31-03-2020";24;63;8;21;1;2,6
"Goirle";785;"Goirle";23904;"18-03-2020";"31-03-2020";28;117,1;17;71,1;8;33,5
"Gooise Meren";1942;"Gooise Meren";58055;"18-03-2020";"31-03-2020";30;51,7;15;25,8;1;1,7
"Gorinchem";512;"Gorinchem";37022;"18-03-2020";"31-03-2020";39;105,3;11;29,7;1;2,7
"Gouda";513;"Gouda";73427;"18-03-2020";"31-03-2020";50;68,1;17;23,2;6;8,2
"Grave";786;"Grave";12436;"18-03-2020";"31-03-2020";26;209,1;11;88,5;4;32,2
"'s-Gravenhage";518;"'s-Gravenhage";545838;"18-03-2020";"31-03-2020";201;36,8;110;20,2;15;2,7
"Groningen";14;"Groningen";232874;"18-03-2020";"31-03-2020";86;36,9;11;4,7;1;0,4
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"18-03-2020";"31-03-2020";14;98,8;8;56,5;0;0
"Haaksbergen";158;"Haaksbergen";24311;"18-03-2020";"31-03-2020";11;45,2;6;24,7;0;0
"Haaren";788;"Haaren";14370;"18-03-2020";"31-03-2020";14;97,4;6;41,8;4;27,8
"Haarlem";392;"Haarlem";162902;"18-03-2020";"31-03-2020";100;61,4;27;16,6;14;8,6
"Haarlemmermeer";394;"Haarlemmermeer";156002;"18-03-2020";"31-03-2020";68;43,6;34;21,8;5;3,2
"Halderberge";1655;"Halderberge";30284;"18-03-2020";"31-03-2020";14;46,2;8;26,4;3;9,9
"Hardenberg";160;"Hardenberg";60948;"18-03-2020";"31-03-2020";26;42,7;9;14,8;0;0
"Harderwijk";243;"Harderwijk";48414;"18-03-2020";"31-03-2020";25;51,6;13;26,9;1;2,1
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"18-03-2020";"31-03-2020";4;21,9;1;5,5;1;5,5
"Harlingen";72;"Harlingen";15722;"18-03-2020";"31-03-2020";3;19,1;2;12,7;0;0
"Hattem";244;"Hattem";12209;"18-03-2020";"31-03-2020";17;139,2;10;81,9;1;8,2
